Influential_Solana_Twitter_Accounts
Group Name;Twitter URL;Name;Note
Core Founders;https://x.com/toly;Anatoly Yakovenko;"Co-founder of Solana; invented Proof of History; primary protocol architect"
Core Founders;https://x.com/rajgokal;Raj Gokal;"Co-founder of Solana; product and ecosystem lead; active ecosystem commentator"
Core Founders;https://x.com/stephenakridge;Stephen Akridge;"Solana co-founder; GPU-based signature verification innovator; leads Anza core dev firm"
Core Founders;https://x.com/solana;Solana (Official);"Official Solana X account; announcements, ecosystem news, and developer updates"
Core Founders;https://x.com/solanalabs;Solana Labs;"Engineering org behind Solana; publishes updates on core protocol development"
OGs & Long-time Contributors;https://x.com/therealchaseeb;Chase Barker;"Solana Mobile team; veteran ecosystem builder; co-hosted Solana Legendary Founders Space Feb 2026"
OGs & Long-time Contributors;https://x.com/Austin_Federa;Austin Federa;"Former Head of Strategy Solana Foundation; co-founder DoubleZero (Solana infra network); prolific Solana commentator"
OGs & Long-time Contributors;https://x.com/armaniferrante;Armani Ferrante;"Creator of Anchor framework; co-founder of Backpack wallet and Mad Lads NFT"
OGs & Long-time Contributors;https://twitter.com/jacobvcreech;Jacob Creech;"Solana Foundation Head of DevRel; key bridge between core engineering and developers"
OGs & Long-time Contributors;https://twitter.com/m_schneider;Max Schneider;"Co-founder of Mango Markets; led OpenBook fork post-FTX; on-chain trading pioneer"
OGs & Long-time Contributors;https://x.com/baalazamon;Bartosz Lipiński;"Co-founder & CEO of Cube Exchange; former Solana Labs senior engineer; co-authored Metaplex NFT standard"
OGs & Long-time Contributors;https://twitter.com/jump_firedancer;Firedancer (Jump Crypto);"Jump Crypto's second Solana validator client; live on mainnet May 2026 producing blocks"
Infrastructure & Tooling Builders;https://x.com/mert;Mert Mumtaz;"Co-founder/CEO of Helius; leading Solana RPC/API provider; prolific ecosystem educator"
Infrastructure & Tooling Builders;https://x.com/fragosti;Francesco Agosti;"Co-founder/CTO of Phantom wallet; built the most widely used Solana wallet"
Infrastructure & Tooling Builders;https://x.com/buffalu__;Lucas Bruder (buffalu);"Co-founder of Jito Labs; MEV and validator infrastructure; key on-chain performance contributor"
Infrastructure & Tooling Builders;https://twitter.com/walkerguffey;Walker Guffey;"Founder of Hello Moon; Solana on-chain analytics; now running public trading challenge"
Infrastructure & Tooling Builders;https://x.com/Helius;Helius;"Leading Solana developer infra—RPC, webhooks, APIs; essential for builders"
Infrastructure & Tooling Builders;https://x.com/metaplex;Metaplex;"NFT standard and tooling suite on Solana; must-follow for NFT/token builders"
Infrastructure & Tooling Builders;https://x.com/solanafm;SolanaFM;Block explorer and on-chain analytics platform for Solana
Infrastructure & Tooling Builders;https://x.com/PythNetwork;Pyth Network;"Real-time price oracle for Solana DeFi; critical data infra for financial dApps"
Infrastructure & Tooling Builders;https://twitter.com/anchorlang;Anchor;"Dominant Solana smart contract framework; official channel for tooling updates"
Infrastructure & Tooling Builders;https://twitter.com/sphere_labs;Sphere Labs;"Solana payments infrastructure; building global payment rails on Solana"
Infrastructure & Tooling Builders;https://twitter.com/IronforgeCloud;Ironforge;Solana developer tooling and RPC infrastructure provider
DeFi Protocol Founders;https://twitter.com/oritheorca;Ori (Grace Kwan);"Co-founder of Orca DEX; Solana's premier liquidity layer; prominent female founder"
DeFi Protocol Founders;https://x.com/orca_so;Orca DEX;"Solana's premier liquidity layer; consistently #1 DEX by trading volume on Solana"
DeFi Protocol Founders;https://x.com/JupiterExchange;Jupiter Exchange;"Largest DEX aggregator on Solana; critical liquidity routing for the ecosystem"
DeFi Protocol Founders;https://x.com/Raydium;Raydium Protocol;"Pioneer AMM and liquidity provider on Solana; deep liquidity hub"
