Group Name,Twitter Link,Name,Note
Solana Founders & Core Contributors,https://x.com/aeyakovenko,Anatoly Yakovenko,"Co-founder of Solana, creator of the Proof of History consensus"
Solana Founders & Core Contributors,https://x.com/0xMert_,Mert Mumtaz,"Co-founder of Helius, Solana researcher, former Coinbase engineer"
Solana Founders & Core Contributors,https://x.com/rogerw Solana,Roger Wang,"Co-founder of Solana, former Stripe engineer"
Solana Founders & Core Contributors,https://x.com/kevinheas noted,Kevin Heasler,"Early Solana contributor, infrastructure builder"
Solana Foundation & Official,https://x.com/solana,Solana,Official Solana blockchain account
Solana Foundation & Official,https://x.com/SolanaFndn,Solana Foundation,Non-profit dedicated to Solana decentralization and growth
Solana Foundation & Official,https://x.com/solana_devs,Solana Developers,Official Solana developer account
Solana Foundation & Official,https://x.com/SuperteamDAO,Superteam DAO,Solana's global builder community and grant program
DeFi Project Leaders,https://x.com/weremeow,Meow,"Founder of Jupiter, Solana's leading DEX aggregator"
DeFi Project Leaders,https://x.com/JupiterExchange,Jupiter Exchange,Solana's largest DEX aggregator by volume
DeFi Project Leaders,https://x.com/RaydiumProtocol,Raydium,Leading Solana AMM and liquidity provider
DeFi Project Leaders,https://x.com/Raydium,Raydium Team,Official Raydium protocol account
DeFi Project Leaders,https://x.com/orca_so,Orca,User-friendly Solana DEX
DeFi Project Leaders,https://x.com/KaminoFinance,Kamino Finance,Solana lending and liquidity protocol
DeFi Project Leaders,https://x.com/marginfi,Marginfi,Solana lending protocol
DeFi Project Leaders,https://x.com/DriftProtocol,Drift Protocol,Solana perpetuals DEX
DeFi Project Leaders,https://x.com/ZetaMarkets,Zeta Markets,Solana options and derivatives platform
DeFi Project Leaders,https://x.com/PythNetwork,Pyth Network,Solana-based oracle network
DeFi Project Leaders,https://x.com/jito_sol,Jito,Solana MEV and liquid staking solution
DeFi Project Leaders,https://x.com/MarinadeFinance,Marinade Finance,Solana liquid staking protocol
DeFi Project Leaders,https://x.com/Lifinity_io,Lifinity,Solana AMM with oracle pricing
DeFi Project Leaders,https://x.com/MeteoraAG,Meteora,Solana dynamic AMM protocol
Wallets & Consumer Apps,https://x.com/phantom,Phantom,"Leading Solana wallet, multi-chain support"
Wallets & Consumer Apps,https://x.com/BChillman,Brandon Millman,CEO & Founder of Phantom Wallet
Wallets & Consumer Apps,https://x.com/solflare_wallet,Solflare,Popular Solana wallet
Wallets & Consumer Apps,https://x.com/Backpack,Backpack,Solana wallet from Mad Lads team
Wallets & Consumer Apps,https://x.com/StepFinance_,Step Finance,Solana portfolio management dashboard
NFT & Marketplaces,https://x.com/MagicEden,Magic Eden,Leading multi-chain NFT marketplace
NFT & Marketplaces,https://x.com/tensor_hq,Tensor,Solana NFT trading platform
NFT & Marketplaces,https://x.com/metaplex,Metaplex,Solana NFT protocol and standards
NFT & Marketplaces,https://x.com/drip_haus,dTeleport,Solana NFT platform
NFT & Marketplaces,https://x.com/AuroryProject,Aurory,Solana NFT gaming project
NFT & Marketplaces,https://x.com/GenesysGo,Genesys Go,Degods and Solana NFT creator
Infrastructure & Dev Tools,https://x.com/heliuslabs,Helius Labs,Solana RPC and developer infrastructure
Infrastructure & Dev Tools,https://x.com/jump_firedancer,Jump Firedancer,Solana validator client by Jump
Infrastructure & Dev Tools,https://x.com/solanalabs,Solana Labs,Core Solana development company
Infrastructure & Dev Tools,https://x.com/anchorlang,Anchor,Solana smart contract development framework
Infrastructure & Dev Tools,https://x.com/clockwork_xyz,Clockwork,Solana automation protocol
Infrastructure & Dev Tools,https://x.com/streamflow_fi,Streamflow,Solana token vesting and streaming
Infrastructure & Dev Tools,https://x.com/solanafm,SolanaFM,Solana blockchain explorer
Infrastructure & Dev Tools,https://x.com/solanabeach_io,Solana Beach,Solana validator explorer
Data & Analytics,https://x.com/birdeye_so,BirdEye,Solana token analytics and tracking
Data & Analytics,https://x.com/bonfida,Bonfida,Solana DNS and data services
Data & Analytics,https://x.com/openbookdex,OpenBook,Solana-based orderbook DEX
Gaming & Consumer,https://x.com/Stepnofficial,STEPN,Solana move-to-earn gaming app
Gaming & Consumer,https://x.com/ParallelColony,Parallel,Solana NFT trading card game
Gaming & Consumer,https://x.com/oreSupply,ORE,Solana mining protocol
Gaming & Consumer,https://x.com/helium,Helium,Decentralized wireless network on Solana
Gaming & Consumer,https://x.com/Hivemapper,Hivemapper,Decentralized mapping on Solana
Gaming & Consumer,https://x.com/rendernetwork,Render Network,GPU rendering on Solana
Community & BD,https://x.com/superteam,Superteam,Solana builder community hub
Community & BD,https://x.com/SuperteamEarn,Superteam Earn,Solana bounties and grants platform
Community & BD,https://x.com/SolanaSensei,Solana Sensei,Solana OG and educator
Community & BD,https://x.com/SolanaCollectiv,Solana Collective,Content creators in Solana ecosystem
Community & BD,https://x.com/OrangeDAOxyz,Orange DAO,YC alumni Web3 investment DAO
Community & BD,https://x.com/SquadsProtocol,Squads,Solana multi-sig wallet for teams
Community & BD,https://x.com/MayanFinance,Mayan Finance,Solana cross-chain bridge
Investors & VCs,https://x.com/colosseumorg,Colosseum,Solana-focused venture capital
Investors & VCs,https://x.com/alliancedao,AllianceDAO,Y Combinator's Web3 accelerator
Investors & VCs,https://x.com/BuidlerDAO,BuidlerDAO,Web3 investment DAO
Key Individuals,https://x.com/therealchaseeb,Chase,Solana builder and ecosystem contributor
Key Individuals,https://x.com/a2kdefi,Adam,"Exchange Art founder, Solana NFT pioneer"
Key Individuals,https://x.com/joemccann,Joe McCann,Solana investor and ecosystem supporter
Key Individuals,https://x.com/Parcl,Parcl,Solana real estate price discovery
Key Individuals,https://x.com/GooseFX1,GooseFX,Solana options protocol
Key Individuals,https://x.com/solblaze_org,SolBlaze,Solana liquid staking
Key Individuals,https://x.com/tradewithPhoton,Photon,Solana trading terminal
Key Individuals,https://x.com/bonk_inu,Bonk,Solana community meme token
